frame_number,event,score,timestamp
2,! High vehicle density (6 vehicles),2,0.06666666666666667
3,! High vehicle density (6 vehicles),2,0.1
4,! High vehicle density (6 vehicles),2,0.13333333333333333
5,! High vehicle density (6 vehicles),2,0.16666666666666666
6,! High vehicle density (6 vehicles),2,0.2
7,! Pedestrian too close to vehicle (distance: 1.9m),5,0.23333333333333334
7,! High vehicle density (6 vehicles),5,0.23333333333333334
8,! Pedestrian too close to vehicle (distance: 1.9m),5,0.26666666666666666
8,! High vehicle density (6 vehicles),5,0.26666666666666666
9,! Pedestrian too close to vehicle (distance: 1.8m),5,0.3
9,! High vehicle density (6 vehicles),5,0.3
10,! Pedestrian too close to vehicle (distance: 1.8m),5,0.3333333333333333
10,! High vehicle density (6 vehicles),5,0.3333333333333333
11,! Pedestrian too close to vehicle (distance: 1.7m),5,0.36666666666666664
11,! High vehicle density (6 vehicles),5,0.36666666666666664
12,! Pedestrian too close to vehicle (distance: 1.7m),5,0.4
12,! High vehicle density (6 vehicles),5,0.4
13,! Pedestrian too close to vehicle (distance: 1.6m),5,0.43333333333333335
13,! High vehicle density (6 vehicles),5,0.43333333333333335
14,! Pedestrian too close to vehicle (distance: 1.6m),5,0.4666666666666667
14,! High vehicle density (6 vehicles),5,0.4666666666666667
15,! Pedestrian too close to vehicle (distance: 1.5m),5,0.5
15,! High vehicle density (6 vehicles),5,0.5
16,! Pedestrian too close to vehicle (distance: 1.5m),5,0.5333333333333333
16,! High vehicle density (6 vehicles),5,0.5333333333333333
17,! Pedestrian too close to vehicle (distance: 1.5m),5,0.5666666666666667
17,! High vehicle density (6 vehicles),5,0.5666666666666667
18,! Pedestrian too close to vehicle (distance: 1.4m),5,0.6
18,! High vehicle density (6 vehicles),5,0.6
19,! Pedestrian too close to vehicle (distance: 1.4m),5,0.6333333333333333
19,! High vehicle density (6 vehicles),5,0.6333333333333333
20,! Pedestrian too close to vehicle (distance: 1.3m),5,0.6666666666666666
20,! High vehicle density (6 vehicles),5,0.6666666666666666
21,! Pedestrian too close to vehicle (distance: 1.3m),5,0.7
21,! High vehicle density (6 vehicles),5,0.7
22,! Pedestrian too close to vehicle (distance: 1.3m),5,0.7333333333333333
22,! High vehicle density (6 vehicles),5,0.7333333333333333
23,! Pedestrian too close to vehicle (distance: 1.2m),5,0.7666666666666667
23,! High vehicle density (6 vehicles),5,0.7666666666666667
24,! Pedestrian too close to vehicle (distance: 1.2m),5,0.8
24,! High vehicle density (6 vehicles),5,0.8
25,! Pedestrian too close to vehicle (distance: 1.2m),5,0.8333333333333334
25,! High vehicle density (6 vehicles),5,0.8333333333333334
26,! Pedestrian too close to vehicle (distance: 1.1m),5,0.8666666666666667
26,! High vehicle density (7 vehicles),5,0.8666666666666667
27,! Pedestrian too close to vehicle (distance: 1.1m),10,0.9
27,! Pedestrian too close to vehicle (distance: 1.0m),10,0.9
27,! Pedestrian too close to vehicle (distance: 1.4m),10,0.9
27,! Pedestrian too close to vehicle (distance: 1.4m),10,0.9
27,! Pedestrian too close to vehicle (distance: 0.5m),10,0.9
27,! High vehicle density (8 vehicles),10,0.9
28,! Pedestrian too close to vehicle (distance: 1.1m),10,0.9333333333333333
28,! Pedestrian too close to vehicle (distance: 1.8m),10,0.9333333333333333
28,! Pedestrian too close to vehicle (distance: 1.0m),10,0.9333333333333333
28,! Pedestrian too close to vehicle (distance: 1.4m),10,0.9333333333333333
28,! Pedestrian too close to vehicle (distance: 1.3m),10,0.9333333333333333
28,! Pedestrian too close to vehicle (distance: 0.5m),10,0.9333333333333333
28,! High vehicle density (9 vehicles),10,0.9333333333333333
29,! Pedestrian too close to vehicle (distance: 1.1m),10,0.9666666666666667
29,! Pedestrian too close to vehicle (distance: 1.8m),10,0.9666666666666667
29,! Pedestrian too close to vehicle (distance: 1.1m),10,0.9666666666666667
29,! Pedestrian too close to vehicle (distance: 1.4m),10,0.9666666666666667
29,! Pedestrian too close to vehicle (distance: 1.2m),10,0.9666666666666667
29,! Pedestrian too close to vehicle (distance: 0.5m),10,0.9666666666666667
29,! High vehicle density (9 vehicles),10,0.9666666666666667
30,! Pedestrian too close to vehicle (distance: 1.0m),10,1.0
30,! Pedestrian too close to vehicle (distance: 1.7m),10,1.0
